Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1961","1961","1000 USD","221071","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1961","1961","1000 USD","86667","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1962","1962","1000 USD","212460","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1962","1962","1000 USD","81462","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1963","1963","1000 USD","243356","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1963","1963","1000 USD","80119","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1964","1964","1000 USD","256598","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1964","1964","1000 USD","78484","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1965","1965","1000 USD","227022","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1965","1965","1000 USD","97903","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1966","1966","1000 USD","217171","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1966","1966","1000 USD","102997","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1967","1967","1000 USD","223106","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1967","1967","1000 USD","98478","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1968","1968","1000 USD","225586","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1968","1968","1000 USD","111168","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1969","1969","1000 USD","209438","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1969","1969","1000 USD","113784","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1970","1970","1000 USD","226999","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1970","1970","1000 USD","167863","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1971","1971","1000 USD","212127","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1971","1971","1000 USD","203756","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1972","1972","1000 USD","250498","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1972","1972","1000 USD","219610","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1973","1973","1000 USD","397975","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1973","1973","1000 USD","333664","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1974","1974","1000 USD","593919","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1974","1974","1000 USD","707591","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1975","1975","1000 USD","511011","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1975","1975","1000 USD","793386","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1976","1976","1000 USD","491584","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1976","1976","1000 USD","740917","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1977","1977","1000 USD","575333","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1977","1977","1000 USD","1045871","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1978","1978","1000 USD","752883","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1978","1978","1000 USD","1173845","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1979","1979","1000 USD","816945","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1979","1979","1000 USD","1655907","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1980","1980","1000 USD","1003235","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1980","1980","1000 USD","1734705","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1981","1981","1000 USD","1214494","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1981","1981","1000 USD","1765466","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1982","1982","1000 USD","1161810","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1982","1982","1000 USD","1687141","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1983","1983","1000 USD","1196044.36","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1983","1983","1000 USD","1931411.56","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1984","1984","1000 USD","1281818.69","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1984","1984","1000 USD","2887809.96","A","Official figure",""
