state,total_production,total_area,paddy_production,fruits_production,vegetables_production,coconut_production,spices_production,herbs_production,cash_crops_production,industrial_crops_production
Johor,6732907.3,590620.0,53056.0,3676252.3,1302106.7,651665.4,91455.9,15264.3,261872.9,681233.8
Kedah,6115420.6,1387637.9,5409781.0,421677.3,89562.0,69463.8,8230.1,2507.9,28083.9,86114.6
Kelantan,4394763.1,719417.6,1810363.0,781033.2,772890.7,445585.9,27081.0,4706.2,103951.2,449151.9
Kuala Lumpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labuan,10367.3,2601.8,0.0,2303.4,2145.5,2884.6,33.7,0.0,106.2,2893.9
Melaka,486437.7,78642.1,59961.0,142424.2,86961.3,84638.5,5036.5,571.9,21026.9,85817.4
Negeri Sembilan,760214.8,76648.3,43980.0,370286.9,133418.8,77608.9,26115.1,325.9,26841.0,81638.2
Pahang,4346906.7,415118.0,231900.0,1322212.0,2258884.7,168885.1,81016.8,7411.8,49906.3,226690.0
Penang,995811.8,171304.3,789257.0,129220.2,64047.6,1309.2,1569.2,12.6,8846.2,1549.8
Perak,4412982.0,708612.7,1590007.0,651475.5,690378.3,468179.8,22875.2,6990.4,512243.6,470832.2
Perlis,1514232.1,350970.0,1374861.0,85696.6,12017.3,19991.4,72.7,113.7,1187.5,20291.9
Sabah,2425221.3,619964.5,683590.0,698056.1,264020.4,333274.7,15224.8,1.7,70440.5,360613.1
Sarawak,3882030.8,1349223.0,1190917.9,920258.7,328914.7,214916.3,17772.2,17451.7,131396.6,1060402.7
Selangor,2761943.7,383479.2,982749.0,192256.2,206352.0,622309.4,24858.8,4354.1,89027.0,640037.2
Terengganu,1034545.3,215835.6,421890.0,268789.6,92191.1,107713.6,5954.4,1805.9,27466.9,108733.8
